year,rank,artist,song,lyrics
1978,6,The Ramones,I Wanna Be Sedated,Twenty-twenty-twenty four hours to go|I wanna be sedated|Nothing to do|Nowhere to go|I wanna be sedated|Just get me to the airport|And put me in a plane|Hurry hurry hurry before I go insane|I can't control my fingers|I can't control my brain|Oh no oh ho|Twenty-twenty-twenty four hours to go|I wanna be sedated|Nothing to do|Nowhere to go|I wanna be sedated|Just put me in a wheelchair|And get me to the show|Hurry hurry hurry before I go loco|I can't control my fingers|I can't control my toes|Oh no oh hoYou might also like
1978,7,The Rolling Stones,Miss You,"I've been holding out so long|I've been sleeping all alone|Lord, I miss you|I've been hanging on the phone|I've been sleeping all alone|I want to kiss you sometime|Ooh, ooh, ooh-ooh-ooh|Ooh, ooh, ooh-ooh-ooh|Well, I've been haunted in my sleep|You've been starring in my dreams|Lord, I miss you, child|I've been waiting in the hall|Been waiting on your call|When the phone rings|It's just some friends of mine that say|Hey, what's the matter, man?|We're goingna come around at twelve|With some Puerto Rican girls thats just dying to meet you|We're goinna bring a case of wine|Hey, let's go mess and fool around|You know, like we used to|Ah, ah, ah-ah-ah|Ah, ah, ah-ah-ah|Oh, everybody waits so long|Oh, baby, why you waitin' so long?|Won't you come on, come on?|I've been walkin' Central Park, singing after dark|People think I'm crazy|Stumbling on my feet, shuffling through the street|Asking people, What's the matter with you, boy?|Sometimes, I want to say to, to myself|Sometimes I say|Ooh, ooh, ooh-ooh-ooh|Ooh, ooh, I won't miss you child|I guess I'm lying to myself|It's just you and no one else|Lord, I won't miss you, child|You've just been blotting out my mind|Fooling on my time|No, I won't miss you, baby, yeah|Ah, ah, ah-ah-ah|Lord, I miss you child|Ah, ah, ah-ah-ah|Lord, I miss you child|Ah, ah, ah-ah-ah|Why, why, why, why16"
1978,8,Chic,Le Freak,"One, two, three|Ah, freak out|Le freak, c'est chic|Freak out|Ah, freak out|Le freak, c'est chic|Freak out|Ah, freak out|Le freak, c'est chic|Freak out|Ah, freak out|Le freak, c'est chic|Freak out|Have you heard about the new dance craze?|Listen to us, I'm sure you'll be amazed|Big fun to be had by everyone|It's up to you, it surely can be done|Young and old are doing it, I'm told|Just one try, and you too will be sold|It's called Le Freak, they're doing it night and day|Allow us, we'll show you the way|Ah, freak out|Le freak, c'est chic|Freak out|Ah, freak out|Le freak, c'est chic|Freak out|Ah, freak out|Le freak, c'est chic|Freak out|Ah, freak out|Le freak, c'est chic|Freak out|All that pressure got you down|Has your head spinning all around|Feel the rhythm, chant the rhyme|Come on along and have a real good time|Like the days of Stompin' at the Savoy|Now we freak, oh what a joy|Just come on down to the 54|And find a spot out on the floor|Ah, freak out|Le freak, c'est chic|Freak out|Ah, freak out|Le freak, c'est chic|Freak out|Ah, freak out|Le freak, c'est chic|Freak out|Ah, freak out|Le freak, c'est chic|Freak out|Now freak|I said freak|Now freak|All that pressure got you down|Has your head spinning all around|Feel the rhythm, chant the rhyme|Come on along and have a real good time|Like the days of Stompin' at the Savoy|Now we freak, oh what a joy|Just come on down to the 54|And find a spot out on the floor|Ah, freak out|Le freak, c'est chic|Freak out|Ah, freak out|Le freak, c'est chic|Freak out|Ah, freak out|Le freak, c'est chic|Freak out|Ah, freak out|Le freak, c'est chic|Freak out|Ah, freak out|Le freak, c'est chic|Freak out|Ah, freak out|Le freak, c'est chic|Freak out|Ah, freak out|Le freak, c'est chic|Freak out|Ah, freak out|Le freak, c'est chic|Freak out|Ah, freak out|Le freak, c'est chic8"
1978,9,Bob Seger,Old Time Rock and Roll,"Just take those old records off the shelf|I'll sit and listen to 'em by myself|Today's music ain't got the same soul|I like that old time rock and roll|Don't try to take me to a disco|You'll never even get me out on the floor|In ten minutes I'll be late for the door|I like that old time rock and roll|Still like that old time rock and roll|That kind of music just soothes the soul|I reminisce about the days of old|With that old time rock and roll|Won't go to hear 'em play a tango|I'd rather hear some blues or funky old soul|There's only one sure way to get me to go|Start playin' old time rock and roll|Call me a relic, call me what you will|Say I'm old-fashioned, say I'm over the hill|Today's music ain't got the same soul|I like that old time rock and roll|Still like that old time rock and roll|That kind of music just soothes the soul|I reminisce about the days of old|With that old time rock and roll|Still like that old time rock and roll|That kind of music just soothes the soul|I reminisce about the days of old|With that old time rock and roll|Still like that old time rock and roll|That kind of music just soothes the soul|I reminisce about the days of old|With that old time rock and roll, hey|Still like that old time rock and roll|That kind of music just soothes the soul|I reminisce about the days of old|With that old time rock and roll|Still like that old time rock and roll12"
1978,10,The B-52's,Rock Lobster,"Sca-do-ba-da, eww|Sca-do-ba-da, eww|(Sca-do-ba-da) We were at a party (Eww)|(Sca-do-ba-da) His ear lobe fell in the deep (Eww)|(Sca-do-ba-da) Someone reached in and grabbed it (Eww)|(Sca-do-ba-da) It was a rock lobster (Eww)|(Ah-ah-ah-ah) Rock lobster|(Ah-ah-ah-ah) Rock lobster|Eww|Eww|We were at the beach (Eww)|Everybody had matching towels (Eww)|Somebody went under a dock (Eww)|And there they saw a rock (Eww)|It wasn't a rock (Eww)|It was a rock lobster (Eww)|(Ah-ah-ah-ah) Rock lobster|(Ah-ah-ah-ah) Rock lobster|Rock lobster, rock lobster|Motion in the ocean (Hoorah)|His air hose broke (Hoorah)|Lots of trouble (Hoorah)|Lots of bubble (Hoorah)|He was in a jam (Hoorah)|He's in a giant clam! (Hoorah)|Rock, rock, rock lobster!|(Ah-ah-ah-ah) Down, down…|Ah-ah-ah-ah-ah-ah-ah-ah-ah|Sca-do-ba-da, eww|Sca-do-ba-da, eww|(Sca-do-ba-da) Underneath the waves (Eww)|(Sca-do-ba-da) Mermaids waving (Eww)|(Sca-do-ba-da) Waving to mermen (Eww)|(Sca-do-ba-da) Waving sea fans (Eww)|(Sca-do-ba-da) Seahorses sailing (Eww)|(Sca-do-ba-da) Dolphins wailing (Eww)|(Ah-ah-ah-ah) Rock lobster|(Ah-ah-ah-ah) Rock lobster|Rock lobster, rock lobster|Hoorah, hoorah|Red snappers snapping (Hoorah)|Clamshells clapping (Hoorah)|Mussels flexing (Hoorah)|Flippers flipping (Hoorah)|Rock, rock|Rock, rock, rock lobster!|(Ah-ah-ah-ah) Down, down…|Ah-ah-ah-ah-ah-ah-ah-ah-ah|Lobster! Rock!|Lobster! Rock!|Let's rock!|Boys in bikinis|Girls in surfboards|Everybody's rocking|Everybody's fruging|Twisting around the fire, having fun|Baking potatoes, baking in the sun|Put on your nose guard|Put on the lifeguard|Pass the tanning butter|Here comes a stingray|There goes a manta ray|In walked a jellyfish|There goes a dogfish|Chased by a catfish|In flew a sea robin|Watch out for that piranha|There goes a narwhal|Here comes a bikini whale! (AHHHHH)|Rock lobster (Lobster, rock lobster)|Rock lobster (Lobster, ah-ah-ah-ah)|Rock lobster (Lobster, rock lobster)|Rock lobster (Lobster, ah-ah-ah-ah-ah)|Ah-ah-ah-ah-ah, ah-ah-ah-ah-ah8"
1979,1,Pink Floyd,"Another Brick in the Wall, Part 2","Daddy's flown across the ocean|Leaving just a memory|A snapshot in the family album|Daddy, what else did you leave for me?|Daddy, what'd ya leave behind for me?|All in all, it was just a brick in the wall|All in all, it was all just bricks in the wall|Hey!|*Children playing*|We don't need no education|We don't need no thought control|No dark sarcasm in the classroom|Teacher, leave them kids alone|Hey! Teacher! Leave them kids alone!|All in all, it's just another brick in the wall|All in all, you're just another brick in the wall|We don't need no education|Wе don't need no thought control|No dark sarcasm in the classroom|Teachers, lеave them kids alone|Hey! Teacher! Leave us kids alone!|All in all, you're just another brick in the wall|All in all, you're just another brick in the wall|Wrong, do it again! (*Children playing*)|Wrong, do it again!|If you don't eat your meat, you can't have any pudding!|(Wrong, do it again!)|How can you have any pudding if you don't eat your meat?|(Wrong, do it again!)|You! Yes! You behind the bike sheds! Stand still, laddie!|(If you don't eat your meat, you can't have any pudding!|How can you have any pudding if you don't eat your meat?)|(You! Yes! You behind the bike sheds! Stand still, laddie!)|*Children playing*|*Phone beeping sound*|*televisions being smashed*|I don't need no arms around me|And I don't need no drugs to calm me|I have seen the writing on the wall|Don't think I need anything at all|No, don't think I'll need anything at all|All in all, it was all just bricks in the wall|All in all, you were all just bricks in the wall"
1979,2,The Clash,London Calling,"London calling to the faraway towns|Now war is declared, and battle come down|London calling to the underworld|Come outta the cupboard, ya boys and girls|London calling, now don't look to us|Phony Beatlemania has bitten the dust|London calling, see we ain't got no swing|Except for the ring of that truncheon thing|The ice age is coming, the sun's zoomin' in|Meltdown expected, the wheat is growin' thin|Engines stop running, but I have no fear|'Cause London is drownin', and I live by the river|(London calling) to the imitation zone|Forget it, brother, you can go it alone|London calling to the zombies of death|Quit holdin' out and draw another breath|London calling, and I don't wanna shout|But while we were talking, I saw you noddin' out|London calling, see we ain't got no Hyde|'Cept for that one with the yellowy eyes|The ice age is coming, the sun's zoomin' in|Engines stop running, the wheat is growin' thin|A nuclear error, but I have no fear|'Cause London is drowning, and I, I live by the river|The ice age is coming, the sun's zoomin' in|Engines stop running, the wheat is growin' thin|A nuclear error, but I have no fear|'Cause London is drowning, an’ I, I live by the river|Ooh, ooh, ooh, ooh|Ooh, ooh, ooh|Now get this|(London calling) Yes, I was there, too|And ya know what they said? Well, some of it was true|(London calling) At the top of the dial|And after all this, won't you give me a smile?|(London calling)|I never felt so much alike, alike, alike36"
1979,3,The Sugarhill Gang,Rapper's Delight,"So it is with hip-hop.  The musical backbone of rap’s most influential era -- the so-called Golden Age of the late 1980s to early 90s -- has its roots in the childhood memories of its creators.  Songs heard in parents’ dens or at dances got chopped up, dissected, and scientifically rearranged.|A few seconds of solo drums in the middle of a song would become the basis for a whole new creation.  A guitar stab, grunt, or horn riff took on new life as the canvas for an emcee or group to paint on.  And anything was fair game.  Cheesy pop songs, novelties, movie soundtracks -- as long as it was funky, it made the cut.  It was all about the breaks.|At the very beginning of hip-hop culture, there was the break.  A DJ named Clyde Campbell working parties in the Bronx in the early 1970s discovered that people loved the moments in songs where everything would drop out except the drums, or occasionally the drums and bass.  But these instrumental sections were almost always short -- a few seconds or a minute.  How to keep the party going?|Campbell, who was dj’ing under the name Kool Herc,” invented a technique he called the Merry-Go-Round.”  It involved finding those key moments in each record, and going right from one to the other.  He’d start with James Brown’s Give It Up or Turn It Loose,” a favorite among b-boys to this day (it’s the one old-schoolers call Clap your hands, stomp your feet,” after Brown’s exhortation at the beginning of the break).  Then he’d transition into Bongo Rock” from the Incredible Bongo Band, and go right into Babe Ruth’s The Mexican.”  Or, even better, he’d take two copies of the same record and switch back and forth, extending a single break into infinity.  The dancers loved it -- all of their favorite moments that they’d previously had to wait for, now happening one after another, in an endless wave of funky drums.|By the time rap music made it to record in 1979, the concept of extending a single breakbeat was transferred onto the new genre.  The early records featured popular songs of the era either sampled or replayed, with grooves that had once rocked the dance floor now expected to rock the pockets of record buyers.|Familiarity may breed contempt, but to early hip hop record makers, it also bred success.  Chic’s monster hit Good Times,” released that very year, formed the basis for dozens of early rap songs, including the biggest one of all, Rapper’s Delight” by the Sugarhill Gang. Cheryl Lynn’s Got to be Real” from the previous year was another one whose groove was used over and over.|But the breaks used at the earliest parties showed up as well.  As the genre grew and more records started being made, the tunes that folks remembered from the parties they had attended as kids ten or so years prior began showing up in their raps.  By the mid-1980s, records like The Incredible Bongo Band’s Apache,” the Honeydrippers’ Impeach the President,” or any number of James Brown cuts began appearing in earnest as the backing to rap records.|And then 1986 hit, and nothing was the same.  Two enigmatic figures known as Breakbeat Lou” and Breakbeat Lenny” put out the first volume of an anthology that would shake up the world and change the sound of rap forever.  Louie Flores and Lenny Roberts released the first of what would become 25 volumes of a series called Ultimate Breaks and Beats.|These were wide-ranging, extremely illegal compilations that included songs favored by DJs for their breaks.  The first volume contained tunes ranging from The Monkees’ Mary Mary” to Rufus Thomas’ novelty Do the Funky Penguin.”  But it was the third song, Amen Brother” by The Winstons, that would push the project over the edge.  The drum solo in that tune became so popular that it eventually got its own name -- the ‘Amen’ break.”  It showed up in NWA (Straight Outta Compton”), Salt-N-Pepa (I Desire”), the Ultramagnetic MCs (Critical Beatdown”), and countless other dope late-80s tracks.  It also took on a second life in the 90s, as it appeared in sped-up form in nearly every drum-n-bass song of the era.|More than any individual tune, though, it was the idea of having all of the hottest breaks in one easy-to-find place that made the series take off.  Until the series stopped in 1991, the tunes on UBB became the backbone of the genre.  The songs on the 25 volumes ranged from 1966 to 1984, with the vast majority unsurprisingly dating from the 70s, the same era as the parties where breakbeats first ruled.  Every producer of the era, whether they copped to it or not, used breaks found somewhere on the compilations.  They defined the sound of the era.|The series ceased right around the time sampling laws tightened up, and using breaks became considerably more expensive.  The classic breaks are now far too identifiable, so current producers engage in a cat-and-mouse game of finding more and more obscure breaks, or trying to alter them enough to be unrecognizable.|Luckily for the inquisitive listener of today, UBB was reissued (still illegally!) a few years ago as a set of 2 CDs containing all 25 volumes on MP3, so it’s possible to find if you look hard enough.|What Makes a Break?|I’m ripping emcees from ‘Funky Drummer’ to ‘Big Beat’”|-- LL Cool J, Murdergram”|So why have some breaks been used over and over?  What makes a good break beat?  First off, from a producer’s perspective, ease of use is important.  Having only the drums playing makes a breakbeat easy to sample and loop -- there are no difficult decisions on how to cut out the vocals or other instruments.|It is this simple qualification that many of rap’s most sampled breaks have in common.  In 2010, the website Who Sampled put together a list of the most-sampled breaks of all time.  The vast majority of them -- eight out of ten -- were from between 1969 and 1973, with just one outlier on each end of that time period.  In almost all of them, there were between two and eight bars of solo drums.|What does that mean to you as a listener?  First off, certain popular breaks have become a part of the language and meaning of rap songs.  When a contemporary song uses Apache” from the Incredible Bongo Band (from 1973, #6 on the list), it’s used not only because it’s a dope break.  The sample’s existence is itself a reference to its popularity in early park jams, and also to the hundreds of times the beat has been sampled since 1981.  Jay Z and Kanye West used these associations astutely on the 2011 track That’s My Bitch.”  The song foregrounded an Apache” sample, but also included an homage to Public Enemy and a lyrical shoutout to Golden Age rapper Monie Love.  All of these things worked in tandem to add an intended subtext of, as Digital Underground put it, a tribute to the early days.”|In fact, as early as 1987, Apache” was used to signify those same early days.  A sample of the song was used on Kool Moe Dee’s Way Way Back,” on which he used a self-consciously dated style to pay tribute to his roots.  Likewise, Busy Bee used the Apache” break on his 1988 song Old School.”  Immediately after the break plays, his first words are, Oh man, that’s that old school.”  Without the knowledge of the break’s history, that ad-lib would fall on deaf ears, and in fact the whole concept of the song would be nonsensical.|That same sample could also serve as a canvas for innovation.  Kool G. Rap used it for his 1989 tune Men At Work,”  whose polysyllabic rhymes left a lifelong impression on a whole generation of emcees (to this day, Black Thought of The Roots can still rap the tune perfectly word-for-word).  The tune had all the more impact for including advanced lyricism against a familiar template, where listeners were used to hearing the simplistic end-line rhymes of The Sugarhill Gang or the schoolyard chants of Busy Bee.|In truth, a solid knowledge of the soul and funk of the late 1960s and 1970s is essential to really understanding hip-hop.  Being able to identify the bells on Bob James’ classic Take Me to the Mardi Gras” (1974) or the drums of Kool & the Gang’s Chocolate Buttermilk” (1969) will add layers upon layers to your enjoyment of rap songs.|Can’t Stop the Rock: Rock & Roll and Other Outliers|I’m the King of Rock, there is none higher/Sucker emcees should call me ‘Sire’”|-- Run-DMC, King of Rock”|One of the oddities on Who Sampled’s list provides another important clue to unlocking the mysteries of the break beat.  Number nine on the list is The Big Beat,” a 1980 track by hard rocker Billy Squier.  The song didn’t chart, and would have been forgotten, despite its charming stop-motion-filled video , if not for rap.  Its opening drum break was immediately adopted by rappers -- by 1981, it was already a staple of many artists’ live performances.|So what does this mean?  That rappers were anxiously awaiting Billy Squier’s first solo album?  Of course not.  The break was adopted because it had open drums, was right at the beginning of the song, and sounded great.  That it was on a hard-rock record mattered not a bit.|This catholic approach to sampling has been true of hip-hop from the beginning, and continues to be so today.  Popular Golden Age breaks came from funk and soul records, to be sure.  But they also came from jazz, hard rock, and even The Monkees, the only-on-television 1960s band” whose Mary Mary” was adopted by De La Soul, Run-DMC, J.J. Fad, and 2 Live Crew proteges Anquette.  If something sounded good, the source didn’t matter.|This approach, of reshaping good bits no matter where they’re from, goes back very far in hip-hop’s DNA.  Afrika Bambaataa, one of the genre’s foremost pioneers, was famous for it.  During hip-hop’s early years, he would throw parties where he would play everything -- electronic music, video game soundtracks, calypso -- with an unerring ear for what would both surprise people and keep the party moving.  His record collection, which is now preserved at Cornell University, grew to over 40,000 strong, and he became known as the Master of Records.”  That same adventurousness is preserved even in today’s big stars -- Jay Z’s sample of Gonjasufi, Kanye West taking from 1970s Hungarian rockers Omega, and more.|The Godfather: James Brown and the Break Beat|Tell the truth, James Brown was old/’Til Eric and Ra came out with ‘I Got Soul’”|-- Stetsasonic, ‘Talkin All That Jazz’|No discussion of break beats is complete without an examination of James Brown.  Tracks that he either performed on or produced have been sampled well over 5,000 times, making him by far the most-sampled artist of all time.|Why is that?  As with so many things in hip-hop, and in history generally, there is no one monolithic answer.  Brown’s cultural impact was unparalleled during the 1960s and 70s -- remember that showing a concert of his on television in the wake of MLK’s death was pretty much the only thing that kept the city of Boston from rioting.  His call to say it loud, I’m black and I’m proud” and his self-reliant cry that I don’t want nobody to get me nothing/Open up the door, I’ll get it myself” had a huge impact on black people (and also cost him a lot of his white audience).|Musically, Brown more or less single-handedly invented the hard-edged funk that would come to dominate the 1970s.  He took the traditions of rhythm and blues music and stripped them down to almost nothing -- a few words (often made up on the spot), a groove, and often just a single chord.|Somehow, the force of his personality -- and an unerring nose for finding great musicians -- made it all work, and songs like Super Bad” and Get Up (I Feel Like Being a) Sex Machine” created what we now think of as funk.|James’ influence extended far beyond his own tunes.  The songs he co-wrote and produced for other members of his camp became classics as well.  Lyn Collins (Think (About It)”) and Bobby Byrd (I Know You Got Soul”) used Brown’s band The J.B.’s to produce great records in the vein of the master.  And The J.B.’s themselves released a ton of instrumentals in the 1970s that stand alongside Brown’s greatest work.  Even former members of Brown’s band got in on the act.  The sibling team of William Bootsy” Collins on bass and Phelps Catfish” Collins on guitar, who played with Brown briefly in 1970-1, became key members of the legendary Parliament-Funkadelic collective after leaving the group.|What does this all have to do with breaks?  First off, James’ early funk songs were repetitive grooves.  While played straight through by the musicians, their circular nature connects them to the four- and eight-bar loops of early rap.  Also, the extended length of many of the tunes meant that there were lots of moments without vocals for burgeoning producers to sample.  And then there were the drum breaks.|Funky Drummer,” number two on Who Sampled’s list, is a prime example.  The song itself is a seven-minute mellow bit of funk that consists almost entirely of a one-bar vamp.  Brown emotes and plays some organ on top of the groove.|Then, almost five minutes in, Brown starts giving the band instructions for an upcoming drum break.You don’t have to do no soloing, brother.  Just keep what you got!” he tells drummer Clyde Stubblefield.  And 45 seconds later, Stubblefield does just that.  Everyone drops out, and perhaps the most famous eight bars in the history of funk begins.|The beat -- a barrage of ghost notes, hi-hat openings and closings, and a tricky syncopated kick drum pattern -- would echo down through the decades.  Starting in the mid-1980s, the beat became a staple in hip-hop.  Other Brown songs would soon follow, creating renewed interest in the master’s work.  While all eras of his career would be fair game for samplers, his hard funk” period that began with 1967’s Cold Sweat” and continued through 1976 makes up the vast majority of the sampled tunes.|The funk and soul of the late 1960s and 1970s, Brown especially, is the DNA of hip-hop.  It worked its way into the genre’s sound, its emcees rhythms, and even its lyrical preoccupations.  From Biggie’s funk flow to make your drawers drop slow” to Redman on the funk train,” the sound, feel, attitude, and cool of the funk pioneers has been a guiding light in the rap world.|In addition to Brown, his proteges in the Parliament-Funkadelic collective had a huge influence on the sound of West Coast rap in particular.  Dr. Dre’s breakthrough 1992 solo album The Chronic, a record that came to define the so-called G-funk” sound, featured ten different samples from either Parliament, Funkadelic, or the collective’s leader George Clinton, where no other artist was sampled more than once.|Kool & the Gang, before having smash success with crossover hits like Hollywood Swingin’,” released funky instrumental tracks that would later be raided by producers.  Their 1969 debut record would be used by pioneers like Eric B and Rakim, Stetsasonic, X-Clan, NWA, Special Ed, A Tribe Called Quest, and more.|While breakbeats were originally used to keep the party going, they came to be much more than that.  They were a way for producers to use the music that was most familiar to them in order to create something exciting and new.  And later, they began to signify themselves -- that is, to represent all of the other times that particular break has been used.  That, ultimately, is the magic of breaks, and their ever-shifting meaning over time is as hip-hop as anything else about them.20"
1979,4,Chic,Good Times,"Good times|These are the good times|Leave your cares behind|These are the good times|Good times|These are the good times|Our new state of mind|These are the good times|Happy days are here again|The time is right for makin' friends|Let's get together, how 'bout a quarter to ten?|Come tomorrow, let's all do it again|Boys will be boys, better let them have their toys|Girls will be girls, cute ponytails and curls|Must put an end to this stress and strife|I think I want to live the sporting life|Good times|These are the good times|Leave your cares behind|These are the good times|Good times|These are the good times|Our new state of mind|These are the good times|A rumor has it that it's getting late|Time marches on, just can't wait|The clock keeps turning, why hesitate?|You silly fool; you can't change your fate|Let's cut the rug, a little jive and jitterbug|We want the best, we won't settle for less|Don't be a drag; participate|Clams on the half shell, and roller skates, roller skates|Good times|These are the good times|Leave your cares behind|These are the good times|Good times|These are the good times|Our new state of mind|These are the good times|Good times|A rumor has it that it's getting late|Time marches on, just can't wait|The clock keeps turning, why hesitate?|You silly fool; you can't change your fate|Let's cut the rug, a little jive and jitterbug|We want the best, we won't settle for less|Don't be a drag; participate|Clams on the half shell, and roller skates, roller skates|Good times|These are the good times|Leave your cares behind|These are the good times|Good times|These are the good times|Our new state of mind|These are the good times|Good times|These are the good times|Leave your cares behind|These are the good times|Good times|These are the good times|Our new state of mind|These are the good times|Good times|These are the good times|Leave your cares behind|These are the good times|Good times2"
1979,5,Michael Jackson,Dont Stop 'Til You Get Enough,"You know, I was|I was wondering, you know|If you could keep on|Because the force|It's got a lot of power|And it make me feel like ah|It make me feel like… ooh!|Lovely is the feelin' now|Fever, temperatures risin' now|Power (Oh, power) is the force, the vow|That makes it happen, it asks no questions why (Ooh)|So get closer (Closer now)|To my body now|Just love me|'Til you don't know how (Ooh)|Keep on with the force, don't stop|Don't stop 'til you get enough|Keep on with the force, don't stop|Don't stop 'til you get enough|Keep on with the force, don't stop|Don't stop 'til you get enough|Keep on with the force, don't stop|Don't stop 'til you get enough|Touch me and I feel on fire|Ain’t nothin' like a love desire (Ooh)|I'm melting (I'm melting)|Like hot candle wax|Sensation (Oh, sensation)|Lovely where we're at (Ooh!)|So let love take us through the hours|I won't be complainin' (Aah)|'Cause this is love power (Ooh)|Keep on with the force, don't stop|Don't stop 'til you get enough|Keep on with the force, don't stop|Don't stop 'til you get enough|Keep on with the force, don't stop|Don't stop 'til you get enough|Keep on with the force, don't stop|Don't stop 'til you get enough|Ooh!|Oh, baby|Keep on|Keep on|Heartbreak enemy despise|Eternal (Oh, eternal)|Love shines in my eyes (Ooh)|So let love take us through the hours (Oh, let love)|I won't be complainin' (No, no) (Hoo!)|'Cause your love is alright, alright (Ooh)|Keep on with the force, don't stop|Don't stop 'til you get enough|Keep on with the force, don't stop|Don't stop 'til you get enough|Keep on with the force, don't stop|Don't stop 'til you get enough|Keep on with the force, don't stop|Don't stop 'til you get enough|Keep on with the force, don't stop (Don't stop, baby)|Don't stop 'til you get enough|Keep on with the force, don't stop|Don't stop 'til you get enough (Oh, my baby)|Keep on with the force, don't stop|Don't stop 'til you get enough|Keep on with the force, don't stop|Don't stop 'til you get enough|Lovely is the feelin' now|I won't be complainin' (Ooh, ooh)|The force is love power|Keep on with the force, don't stop|Don't stop 'til you get enough|Keep on with the force, don't stop (Don't stop, darlin')|Don't stop 'til you get enough|Keep on with the force, don't stop (Don't, baby)|Don't stop 'til you get enough|Keep on with the force, don't stop (Keep on)|Don't stop 'til you get enough|Keep on with the force, don't stop (Keep on, darlin')|Don't stop 'til you get enough|Keep on with the force, don't stop (Love power, yeah)|Don't stop 'til you get enough|Keep on with the force, don't stop (Keep on, darlin')|Don't stop 'til you get enough|Keep on with the force, don't stop (Love power)|Don't stop 'til you get enough|Keep on with the force, don't stop|(Keep on with the power, would ya, ooh)|Don't stop 'til you get enough|(Don't stop 'til you get enough, ooh)|Keep on with the force, don't stop|Don't stop 'til you get enough|Keep on with the force, don't stop (Keep on, yeah)|Don't stop 'til you get enough (Ah, ah now)|Keep on with the force, don't stop (Yeah)|Don't stop 'til you get enough|Keep on with the force, don't stop (Keep on, baby)|Don't stop 'til you get enough|Keep on with the force, don't stop (Don't 'til you get enough)|Don't stop 'til you get enough|Keep on with the force, don't stop|Don't stop 'til you get enough|Keep on with the force, don't stop (Keep on, darlin')|Don't stop 'til you get enough|Keep on with the force, don't stop (Alright, yeah)|Don't stop 'til you get enough|Keep on with the force, don't stop (Keep on, baby)|Don't stop 'til you get enough|Keep on with the force, don't stop (Don't stop)23"
1979,6,Sister Sledge,We Are Family,"We are family|I got all my sisters with me|We are family|Get up everybody and sing|We are family|I got all my sisters with me|We are family|Get up everybody and sing|Everyone can see we're together|As we walk on by|(Fly) and we fly just like birds of a feather|I won't tell no lie|(All) all of the people around us they say|Can they be that close|Just let me state for the record|We're giving love in a family dose|We are family|Yeah, yeah, ah|I got all my sisters with me|I have, I have|We are family|Get up everybody and sing|(Sing it to me)|We are family|I got all my sisters with me|We are family|Get up everybody and sing|Living life is fun and we've just begun|To get our share of this world's delights|(High) high hopes we have for the future|And our goal's in sight|(We) no, we don't get depressed|Here's what we call our golden rule|Have faith in you and the things you do|You won't go wrong, oh-no|This is our family jewel|We are family|Yeah, yeah, sing it to me|I got all my sisters with me|We are family|Oh, I can hear you now|Get up everybody and sing|We are family|I got all my sisters with me|We are family|(Get up now)|Get up everybody and sing|We are family|I got all my sisters with me|We are family|Get up everybody and sing|We are family6"
1979,7,Pink Floyd,Comfortably Numb,"Hello? (Hello, hello, hello)|Is there anybody in there?|Just nod if you can hear me|Is there anyone home?|Come on (Come on, come on), now|I hear you're feeling down|Well, I can ease your pain|And get you on your feet again|Relax (Relax, relax, relax)|I'll need some information first|Just the basic facts|Can you show me where it hurts?|There is no pain, you are receding|A distant ship, smoke on the horizon|You are only coming through in waves|Your lips move, but I can't hear what you're saying|When I was a child, I had a fever|My hands felt just like two balloons|Now I've got that feeling once again|I can't explain, you would not understand|This is not how I am|I have become comfortably numb|I have become comfortably numb|Okay (Okay, okay, okay)|Just a little pinprick|There'll be no more|But you may feel a little sick|Can you stand up? (Stand up, stand up)|I do believe it's working, good|That'll keep you going through the show|Come on, it's time to go|There is no pain, you are receding|A distant ship, smoke on the horizon|You are only coming through in waves|Your lips move, but I can't hear what you're saying|When I was a child, I caught a fleeting glimpse|Out of the corner of my eye|I turned to look, but it was gone|I cannot put my finger on it now|The child is grown, the dream is gone|I have become comfortably numb|"
